s,A(s) (GHz),B(s) (GHz),c (normalized)
0.000,9.83941700,0.25919250,0.00000000
0.001,9.74648300,0.26164690,0.00521934
0.002,9.65543400,0.26411290,0.01028280
0.003,9.56560800,0.26659050,0.01524556
0.004,9.47668300,0.26907960,0.02013416
0.005,9.38976300,0.27158030,0.02486175
0.006,9.30333300,0.27409260,0.02954993
0.007,9.21841300,0.27661640,0.03411724
0.008,9.13447400,0.27915180,0.03860774
0.009,9.05142800,0.28169880,0.04302841
0.010,8.96951800,0.28425730,0.04736041
0.011,8.88844500,0.28682740,0.05162719
0.012,8.80914300,0.28940910,0.05575902
0.013,8.73007300,0.29200230,0.05987322
0.014,8.65256300,0.29460710,0.06386956
0.015,8.57574000,0.29722340,0.06781402
0.016,8.50111400,0.29985140,0.07159647
0.017,8.42654900,0.30249090,0.07537446
0.018,8.35287700,0.30514190,0.07908722
0.019,8.28022800,0.30780460,0.08272519
0.020,8.20895500,0.31047880,0.08626494
0.021,8.13823100,0.31316450,0.08976556
0.022,8.06750800,0.31586190,0.09326618
0.023,7.99852400,0.31857070,0.09664351
0.024,7.92996600,0.32129120,0.09999102
0.025,7.86312400,0.32402320,0.10321980
0.026,7.79628300,0.32676680,0.10644860
0.027,7.72944100,0.32952200,0.10967730
0.028,7.66467800,0.33228870,0.11276410
0.029,7.60032700,0.33506700,0.11582300
0.030,7.53788000,0.33785690,0.11875500
0.031,7.47543200,0.34065830,0.12168700
0.032,7.41298500,0.34347130,0.12461890
0.033,7.35155000,0.34629590,0.12748440
0.034,7.29111400,0.34913200,0.13028410
0.035,7.23200800,0.35197970,0.13299870
0.036,7.17360500,0.35483890,0.13566810
0.037,7.11520100,0.35770980,0.13833750
0.038,7.05679800,0.36059220,0.14100700
0.039,6.99948700,0.36348610,0.14360750
0.040,6.94319500,0.36639160,0.14614370
0.041,6.88821700,0.36930870,0.14859900
0.042,6.83401500,0.37223740,0.15100640
0.043,6.77981300,0.37517760,0.15341380
0.044,6.72561100,0.37812940,0.15582130
0.045,6.67140900,0.38109280,0.15822870
0.046,6.61898500,0.38406770,0.16052890
0.047,6.56682100,0.38705420,0.16281340
0.048,6.51668300,0.39005220,0.16497860
0.049,6.46663800,0.39306190,0.16713830
0.050,6.41659400,0.39608310,0.16929800
0.051,6.36654900,0.39911580,0.17145770
0.052,6.31650400,0.40216010,0.17361740
0.053,6.26736800,0.40521600,0.17572450
0.054,6.21922900,0.40828350,0.17777390
0.055,6.17203900,0.41136250,0.17976960
0.056,6.12577500,0.41445310,0.18171300
0.057,6.07951100,0.41755520,0.18365640
0.058,6.03324800,0.42066900,0.18559980
0.059,5.98698400,0.42379430,0.18754320
0.060,5.94072000,0.42693110,0.18948660
0.061,5.89499200,0.43007950,0.19140050
0.062,5.85091600,0.43323950,0.19322350
0.063,5.80736500,0.43641110,0.19501830
0.064,5.76547700,0.43959420,0.19672360
0.065,5.72358900,0.44278890,0.19842900
0.066,5.68170000,0.44599510,0.20013430
0.067,5.63981200,0.44921300,0.20183970
0.068,5.59792300,0.45244230,0.20354500
0.069,5.55603500,0.45568330,0.20525030
0.070,5.51414700,0.45893580,0.20695570
0.071,5.47383900,0.46219990,0.20857870
0.072,5.43379600,0.46547560,0.21018780
0.073,5.39535400,0.46876280,0.21171540
0.074,5.35724400,0.47206160,0.21322610
0.075,5.31913500,0.47537190,0.21473680
0.076,5.28102600,0.47869380,0.21624750
0.077,5.24291600,0.48202730,0.21775820
0.078,5.20480700,0.48537240,0.21926900
0.079,5.16669700,0.48872900,0.22077970
0.080,5.12858800,0.49209720,0.22229040
0.081,5.09102600,0.49547690,0.22377390
0.082,5.05487200,0.49886820,0.22518770
0.083,5.01906000,0.50227110,0.22658480
0.084,4.98479000,0.50568560,0.22790720
0.085,4.95052000,0.50911160,0.22922960
0.086,4.91625000,0.51254920,0.23055200
0.087,4.88198000,0.51599830,0.23187440
0.088,4.84771000,0.51945900,0.23319670
0.089,4.81344000,0.52293130,0.23451910
0.090,4.77917000,0.52641520,0.23584150
0.091,4.74490000,0.52991060,0.23716390
0.092,4.71062900,0.53341760,0.23848630
0.093,4.67667400,0.53693610,0.23979410
0.094,4.64440900,0.54046620,0.24102320
0.095,4.61226700,0.54400790,0.24224680
0.096,4.58204900,0.54756120,0.24338270
0.097,4.55183100,0.55112600,0.24451860
0.098,4.52161300,0.55470240,0.24565450
0.099,4.49139500,0.55829030,0.24679050
0.100,4.46117700,0.56188980,0.24792640
0.101,4.43095900,0.56550090,0.24906230
0.102,4.40074100,0.56912360,0.25019820
0.103,4.37052300,0.57275780,0.25133420
0.104,4.34030500,0.57640350,0.25247010
0.105,4.31008700,0.58006090,0.25360600
0.106,4.27986900,0.58372980,0.25474190
0.107,4.24973200,0.58741030,0.25587430
0.108,4.22113000,0.59110230,0.25693960
0.109,4.19252800,0.59480590,0.25800480
0.110,4.16550900,0.59852110,0.25900240
0.111,4.13858800,0.60224790,0.25999590
0.112,4.11166700,0.60598620,0.26098940
0.113,4.08474600,0.60973610,0.26198280
0.114,4.05782400,0.61349750,0.26297630
0.115,4.03090300,0.61727050,0.26396980
0.116,4.00398200,0.62105510,0.26496320
0.117,3.97706100,0.62485120,0.26595670
0.118,3.95013900,0.62865890,0.26695020
0.119,3.92321800,0.63247820,0.26794360
0.120,3.89629700,0.63630910,0.26893710
0.121,3.86937500,0.64015150,0.26993060
0.122,3.84245400,0.64400540,0.27092400
0.123,3.81553300,0.64787100,0.27191750
0.124,3.79035400,0.65174810,0.27283960
0.125,3.76527400,0.65563680,0.27375770
0.126,3.74157400,0.65953700,0.27462040
0.127,3.71827700,0.66344880,0.27546690
0.128,3.69498000,0.66737220,0.27631350
0.129,3.67168200,0.67130710,0.27716000
0.130,3.64838500,0.67525370,0.27800660
0.131,3.62508800,0.67921170,0.27885310
0.132,3.60179100,0.68318140,0.27969970
0.133,3.57849400,0.68716260,0.28054620
0.134,3.55519700,0.69115540,0.28139280
0.135,3.53189900,0.69515970,0.28223930
0.136,3.50860200,0.69917560,0.28308590
0.137,3.48530500,0.70320310,0.28393250
0.138,3.46200800,0.70724210,0.28477900
0.139,3.43871100,0.71129270,0.28562560
0.140,3.41541400,0.71535490,0.28647210
0.141,3.39211600,0.71942860,0.28731870
0.142,3.36881900,0.72351390,0.28816520
0.143,3.34716500,0.72761080,0.28895000
0.144,3.32555200,0.73171920,0.28973320
0.145,3.30543500,0.73583930,0.29046120
0.146,3.28553900,0.73997080,0.29118110
0.147,3.26564300,0.74411400,0.29190090
0.148,3.24574600,0.74826870,0.29262080
0.149,3.22585000,0.75243490,0.29334060
0.150,3.20595400,0.75661280,0.29406050
0.151,3.18605700,0.76080220,0.29478040
0.152,3.16616100,0.76500320,0.29550020
0.153,3.14626500,0.76921570,0.29622010
0.154,3.12636900,0.77343980,0.29693990
0.155,3.10647200,0.77767550,0.29765980
0.156,3.08657600,0.78192270,0.29837970
0.157,3.06668000,0.78618150,0.29909950
0.158,3.04678400,0.79045190,0.29981940
0.159,3.02688700,0.79473380,0.30053920
0.160,3.00699100,0.79902730,0.30125910
0.161,2.98709500,0.80333240,0.30197900
0.162,2.96719900,0.80764900,0.30269880
0.163,2.94730200,0.81197720,0.30341870
0.164,2.92740600,0.81631700,0.30413850
0.165,2.90841000,0.82066830,0.30482730
0.166,2.88985500,0.82503120,0.30550080
0.167,2.87214900,0.82940570,0.30614550
0.168,2.85492800,0.83379170,0.30677380
0.169,2.83770600,0.83818930,0.30740220
0.170,2.82048500,0.84259850,0.30803050
0.171,2.80326300,0.84701920,0.30865880
0.172,2.78604100,0.85145150,0.30928710
0.173,2.76882000,0.85589540,0.30991540
0.174,2.75159800,0.86035080,0.31054370
0.175,2.73437700,0.86481780,0.31117200
0.176,2.71715500,0.86929640,0.31180030
0.177,2.69993300,0.87378650,0.31242860
0.178,2.68271200,0.87828820,0.31305690
0.179,2.66549000,0.88280150,0.31368530
0.180,2.64826900,0.88732630,0.31431360
0.181,2.63104700,0.89186270,0.31494190
0.182,2.61382500,0.89641070,0.31557020
0.183,2.59660400,0.90097020,0.31619850
0.184,2.57938200,0.90554130,0.31682680
0.185,2.56216000,0.91012400,0.31745510
0.186,2.54493900,0.91471820,0.31808340
0.187,2.52771700,0.91932400,0.31871170
0.188,2.51049600,0.92394140,0.31934010
0.189,2.49327400,0.92857030,0.31996840
0.190,2.47616200,0.93321080,0.32059330
0.191,2.46031900,0.93786290,0.32117860
0.192,2.44476800,0.94252650,0.32175510
0.193,2.43036600,0.94720170,0.32229640
0.194,2.41596400,0.95188840,0.32283770
0.195,2.40156100,0.95658680,0.32337910
0.196,2.38715900,0.96129670,0.32392040
0.197,2.37275700,0.96601810,0.32446170
0.198,2.35835400,0.97075120,0.32500300
0.199,2.34395200,0.97549580,0.32554440
0.200,2.32954900,0.98025190,0.32608570
0.201,2.31514700,0.98501960,0.32662700
0.202,2.30074500,0.98979890,0.32716830
0.203,2.28634200,0.99458980,0.32770970
0.204,2.27194000,0.99939220,0.32825100
0.205,2.25753800,1.00420600,0.32879230
0.206,2.24313500,1.00903200,0.32933360
0.207,2.22873300,1.01386900,0.32987500
0.208,2.21433000,1.01871800,0.33041630
0.209,2.19992800,1.02357800,0.33095760
0.210,2.18552600,1.02845000,0.33149890
0.211,2.17112300,1.03333300,0.33204030
0.212,2.15672100,1.03822800,0.33258160
0.213,2.14231900,1.04313500,0.33312290
0.214,2.12791600,1.04805300,0.33366430
0.215,2.11351400,1.05298200,0.33420560
0.216,2.09911100,1.05792400,0.33474690
0.217,2.08470900,1.06287600,0.33528820
0.218,2.07030700,1.06784100,0.33582960
0.219,2.05590400,1.07281700,0.33637090
0.220,2.04200700,1.07780400,0.33689870
0.221,2.02877300,1.08280300,0.33740870
0.222,2.01626400,1.08781400,0.33789980
0.223,2.00419400,1.09283600,0.33837940
0.224,1.99212500,1.09787000,0.33885900
0.225,1.98005600,1.10291500,0.33933860
0.226,1.96798700,1.10797200,0.33981810
0.227,1.95591700,1.11304000,0.34029770
0.228,1.94384800,1.11812000,0.34077730
0.229,1.93177900,1.12321200,0.34125690
0.230,1.91971000,1.12831500,0.34173650
0.231,1.90764100,1.13343000,0.34221600
